"species","p_value","LBD","LBD_control","qval"
"Clostridium_sp_NSJ_42","1",0.08,0.12,1
"GGB52130_SGB14966","0.520194749554762",0.2,0.32,1
"Faecalicatena_orotica","0.667100882906354",0.16,0.08,1
"Faecalimonas_umbilicata","0.320891030139048",0.16,0.32,1
"GGB9790_SGB15413","0.667100882906354",0.16,0.08,1
"GGB3444_SGB4594","0.170622352801803",0.12,0.32,1
"Bacteroides_clarus","0.667100882906354",0.16,0.08,1
"GGB9211_SGB14151","1",0.12,0.08,1
"Methanosphaera_stadtmanae","1",0.12,0.12,1
"Paraprevotella_clara","1",0.16,0.12,1
"GGB51454_SGB71784","0.701939162602201",0.12,0.2,1
"Raoultibacter_timonensis","1",0.16,0.12,1
"Bacteroides_salyersiae","0.28901585615842",0.28,0.12,1
"Wujia_chipingensis","1",0.16,0.16,1
"Clostridium_SGB4750","0.725202447472273",0.16,0.24,1
"GGB4571_SGB6321","1",0.12,0.12,1
"GGB3496_SGB4671","1",0.12,0.08,1
"GGB51139_SGB71360","1",0.08,0.12,1
"Dorea_phocaeensis","1",0.12,0.12,1
"GGB3534_SGB4722","0.246718974576471",0.08,0.24,1
"GGB3352_SGB62935","1",0.12,0.08,1
"Neobittarella_massiliensis","0.725202447472273",0.16,0.24,1
"Bacteroides_faecis","0.701939162602201",0.12,0.2,1
"Tyzzerella_SGB4587","1",0.16,0.2,1
"Dielma_fastidiosa","0.667100882906354",0.08,0.16,1
"Collinsella_intestinalis","0.667100882906354",0.08,0.16,1
"Actinomyces_sp_ICM47","0.189463019250253",0.04,0.2,1
"GGB3576_SGB4784","1",0.2,0.16,1
"Bifidobacterium_bifidum","1",0.08,0.12,1
"Clostridium_transplantifaecale","1",0.12,0.08,1
"GGB41473_SGB58537","1",0.12,0.16,1
"Firmicutes_unclassified_SGB47659","1",0.16,0.12,1
"Akkermansia_sp_BIOML_A66","0.348675640468953",0.16,0.04,1
"GGB9474_SGB14868","0.701939162602201",0.12,0.2,1
"GGB3548_SGB4744","0.667100882906354",0.08,0.16,1
