"species","lbd_control_BIOME182795","lbd_BIOME186184","lbd_control_BIOME186381","lbd_BIOME186385","median_g1","median_g2","log2fc","p_value","q_value","kingdom","phylum","class","order","family","genus"
"Oscillibacter_sp_ER4",0.0259759957858908,0,0,0,0,0,0,0.0848117862881337,0.579547206302247,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Oscillibacter"
"Oscillibacter_sp_MSJ_31",0,0,0,0,0.0161096940449343,0,9.65892069172687,0.0629630616927457,0.52504790428527,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Oscillibacter"
"Oscillibacter_valericigenes",0.0182602672097108,0,0.036440196535119,0.0421586594534485,0.0251283259489546,0.0189642559679042,0.405659791815628,0.619263110563128,0.92607127780261,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Oscillibacter"
"Oscillospiraceae_bacterium",0.0309063902699154,0,0.0845144440337867,0,0,0,0,0.74286558143587,0.958213041405174,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Oscillospiraceae_unclassified"
"Oscillospiraceae_bacterium_CLA_AA_H250",0.0895091117912614,0,0,0.0476688619354657,0.118940233379528,0,12.5416127593439,0.00530281878296873,0.312631868221538,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Oscillospiraceae_unclassified"
"Oscillospiraceae_bacterium_Marseille_Q3528",0.0170566255115568,0,0,0,0,0,0,0.624286774177089,0.927991204813337,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Oscillospiraceae_unclassified"
"Oscillospiraceae_unclassified_SGB15256",0,0,0,0,0,0,0,0.16484180928754,0.67936141424601,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Oscillospiraceae_unclassified"
"Oxalobacter_formigenes",0.0119040674146005,0,0,0,0,0,0,0.826845046174108,0.978028566757091,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Oxalobacter"
"Parabacteroides_distasonis",0.0460749793725992,0,0.0541161555079287,0.083285187566734,0.0317968532938476,0.0327701780437431,-0.0434726397422411,0.91020341903511,0.987553875399655,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides"
"Parabacteroides_goldsteinii",0,0,0,0,0,0,0,0.230288288210681,0.689408438738912,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides"
"Parabacteroides_johnsonii",0,0,0,0,0,0,0,0.679630756613385,0.93926497824097,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides"
"Parabacteroides_merdae",0.0226602812457636,0.272163906858997,0.0233302133599637,0.106706367499885,0.0392018739746517,0.0396828246446935,-0.0175832047685982,0.406428077481082,0.847299212375815,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides"
"Paraprevotella_clara",0,0,0,0,0,0,0,0.554776920028692,0.915557205792333,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Paraprevotella"
"Parasutterella_excrementihominis",0,0,0,0,0,0,0,0.297703565355207,0.769443776456889,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella"
"Parasutterella_SGB9260",0,0,0.0405327008471597,0,0,0,0,0.00279206051972893,0.312631868221538,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella"
"Phascolarctobacterium_faecium",0.0738906913681758,0,0.0683356810957467,0,0,0,0,0.42454828682969,0.864032904846014,"Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium"
