"Row.names","irbd_BIOME169225","irbd_control_BIOME169229","irbd_BIOME171096","irbd_control_BIOME172176","irbd_BIOME172204","irbd_control_BIOME172208","irbd_BIOME172212","irbd_control_BIOME172216","irbd_BIOME181988","irbd_control_BIOME181992","irbd_BIOME182072","irbd_control_BIOME182743","irbd_BIOME182783","irbd_control_BIOME182787","irbd_BIOME186317","irbd_control_BIOME186321","irbd_BIOME186337","irbd_control_BIOME186341","irbd_BIOME186357","irbd_control_BIOME186361","median_g1","median_g2","log2fc","p_value","q_value","kingdom","phylum","class","order","family","genus","category","cohens_d","ci_low","ci_high","p_effect_size"
"Monoglobus_pectinilyticus",0,0,0,0.0258814493176815,0,0,0.0620147338746491,0.0903670376964286,0,0,0,0,0.0371932395042568,0,0.0562444134912036,0.101139668522718,0.0455986916604953,0.062669303915363,0,0.0935596698464669,0,0.0129407246588407,-9.3433469668442,0.22947864546266,0.643077390399694,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Monoglobus","All",-0.494968025356803,-1.14251002087208,0.176433155594199,0.316412132491129
"Alistipes_communis",0.0553690437821504,0,0.0578916434615898,0.0142973384616207,0.0425004472798896,0,0.00577930519352313,0,0.0155022345012279,0,0,0,0.0251661156285943,0.0461780801613511,0,0,0,0,0.0832285032275666,0.107207118288529,0.0203341750649111,0,9.9945272497654,0.189782690953837,0.63570185279367,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","All",0.432354099483146,-0.228656426001683,1.07191974835448,0.312048717651699
"Veillonella_parvula",0,0.0177181556117608,0,0,0,0.0673524643230818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165021388365689,0.623849173981767,"Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","All",-0.397287936817106,-1.03292751853019,0.258347099444266,0.310861825035155
"Phocaeicola_vulgatus",0.0442445097628278,0.118397155584937,0.0734595106310959,0,0.0589731404163903,0.245794602531264,0.0190458347844256,0.0438466755577435,0.0218466467375017,0,0.0265775565859757,0.0410041695964722,0.0671862015750713,0.110269224322359,0.0469992101136739,0.0707860426100153,0.0579219321075295,0.111669408035208,0,0,0.0456218599382509,0.0573163590838794,-0.329093016678694,0.225001839297848,0.640222624861991,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","All",-0.477568731586161,-1.12277179688224,0.190845385024558,0.309375677663271
"Veillonella_atypica",0,0,0,0,0,0.0203557644069851,0,0,0,0,0,0,0,0.011954362928688,0,0,0,0,0,0,0,0,0,0.210497344935202,0.63570185279367,"Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","All",-0.455484272455302,-1.09785372481008,0.20924823719074,0.308250519863124
"Bacteroides_thetaiotaomicron",0.0148699782368798,0,0.0254703803632311,0.0549320793832122,0.0128728092994333,0,0.0097725652050819,0.0496076310503852,0.0196022766975609,0,0,0.0251740699564228,0,0.0162733939247508,0.0243231700589173,0.0328052756585986,0,0.0711705698899382,0.0219106619653363,0.0192521642308991,0.0138713937681565,0.0222131170936609,-0.67852071835604,0.237806612259856,0.643077390399694,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","All",-0.493031923397422,-1.14030904714278,0.178033175516056,0.307541517486938
"Hydrogeniiclostridium_mannosilyticum",0,0,0,0,0,0,0.00719033280298787,0,0,0,0,0,0,0,0,0,0,0,0.0245931350107029,0.0120543374948664,0,0,0,0.213658293206937,0.63570185279367,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Hydrogeniiclostridium","All",0.453948608357648,-0.210532502281016,1.09612667734346,0.30427278454393
"GGB9452_SGB14843",0,0,0,0,0,0,0,0,0,0,0,0,0.0147822801580897,0,0.0397835981526709,0,0,0,0,0,0,0,0,0.191428638299992,0.63570185279367,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9452","All",0.422172247367469,-0.237243957497402,1.06055740433899,0.303116756373488
"Rothia_mucilaginosa",0,0.0182136454483144,0,0.0209610175171323,0.0121205302083997,0.0160692928850381,0,0,0,0,0.0153237870569263,0,0,0.0357917142016915,0,0,0,0,0,0,0,0,0,0.203252691099695,0.63570185279367,"Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Micrococcaceae","Rothia","All",-0.437876271097305,-1.07703961112115,0.224010257016621,0.302994482748319
"Parabacteroides_johnsonii",0,0,0,0.0252296436788046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00976745059460452,0.067356941972837,0,0,0,0.201544585618108,0.63570185279367,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","All",-0.434675517729503,-1.07451507909896,0.226702308066631,0.302372836794181
"GGB34900_SGB14891",0,0.0105642897883454,0,0.00549547977688115,0.00854995967909887,0,0,0.00548637311599792,0.00835473704278705,0,0,0,0.01351706462784,0,0,0,0.0113536575069055,0,0.0107146844175475,0,0.00417736852139353,0,7.71674661193167,0.151601032679189,0.623849173981767,"Bacteria","Firmicutes","CFGB77202","OFGB77202","FGB77202","GGB34900","All",0.365390258555003,-0.285641463115734,0.997803062654996,0.29936344972173
"GGB9813_SGB15447",0,0,0,0,0,0,0,0,0,0,0,0,0.0599299257609569,0.00703568133313327,0,0,0,0,0,0,0,0,0,0.114505307535183,0.611945762102077,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","GGB9813","All",0.316227766016838,-0.328259292890835,0.944320270132562,0.297625472408977
"GGB9237_SGB14179",0,0,0,0,0.013892893680638,0,0,0,0,0,0,0,0,0,0,0,0.0267912619270571,0,0,0,0,0,0,0.217171209916718,0.63570185279367,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9237","All",0.447086383985463,-0.216278788645201,1.08841837572254,0.296506683502934
"GGB9533_SGB14936",0,0,0,0,0.00612376385564926,0,0,0,0,0,0,0,0,0,0,0,0.0117985787008245,0,0,0,0,0,0,0.218016594676267,0.63570185279367,"Bacteria","Firmicutes","CFGB3038","OFGB3038","FGB3038","GGB9533","All",0.447149806341379,-0.21622562553378,1.08848957531972,0.295794268773752
"GGB3576_SGB4784",0,0,0,0,0,0,0,0,0,0,0.015726425615974,0,0,0,0,0,0.0287633122590698,0,0,0,0,0,0,0.224443954614418,0.640222624861991,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB3576","All",0.450766781203045,-0.213195394071717,1.09255069875727,0.292498997766989
"GGB3303_SGB4364",0,0,0,0,0,0,0,0,0.034593025150366,0,0,0,0,0,0.0807163927830518,0,0,0,0,0,0,0,0,0.213535145936251,0.63570185279367,"Bacteria","Firmicutes","CFGB4648","OFGB4648","FGB4648","GGB3303","All",0.433013327042859,-0.228101350092412,1.07265656821561,0.290348700646466
