"species","irbd_BIOME186337","irbd_control_BIOME186341","irbd_BIOME186357","irbd_control_BIOME186361","median_g1","median_g2","log2fc","p_value","q_value","kingdom","phylum","class","order","family","genus"
"Clostridium_sp_NSJ_42",0,0,0,0,0,0,0,0.814608035734067,0.943346982929685,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium"
"Clostridium_spiroforme",0,0.0409663251178353,0,0,0,0,0,0.346766991464667,0.690019452610436,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelatoclostridium"
"Clostridium_symbiosum",0,0,0.0105548189820635,0,0,0,0,0.126394213632633,0.622636244739282,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnoclostridium"
"Collinsella_aerofaciens",0.0667496312325411,0.0686600797733599,0.217854133308831,0,0.112121880657537,0.0141201266472797,2.98746244696017,0.000164325237224924,0.0967875647254802,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella"
"Collinsella_sp_AF08_23",0,0.0120460416787583,0,0,0,0,0,0.156961990584231,0.623849173981767,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella"
"Collinsella_stercoris",0,0,0,0,0,0,0,0.476308285772577,0.770131191329182,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella"
"Collinsella_tanakaei",0,0,0,0,0,0,0,0.177042255806442,0.63570185279367,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella"
"Congzhengia_minquanensis",0,0,0,0,0,0,0,0.0245669438914001,0.600750593146475,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Congzhengia"
"Coprococcus_catus",0,0,0.0818274707052728,0.0365882139142435,0.0413454792770742,0.0376522331553102,0.134925903196216,0.802980669224904,0.940522077368175,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Coprococcus"
"Coprococcus_comes",0,0.0629900601064111,0.0771667915879729,0.0463307203349413,0.0793818725556658,0.074106605968355,0.099181636208459,0.693784710404755,0.884500420840695,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Coprococcus"
"Coprococcus_eutactus",0,0,0,0,0,0,0,0.785940718827724,0.938433347931924,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Coprococcus"
"Coprococcus_SGB106014",0,0,0,0,0,0,0,0.615341716484629,0.851561327719529,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Coprococcus"
"Coprococcus_sp_AF21_14LB",0,0,0,0,0,0,0,0.94700749872102,0.988832259693554,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Coprococcus"
"Cuneatibacter_sp_NSJ_177",0.0120252638331787,0,0.0174450868094958,0.0100748917820457,0.0109675074316377,0,9.10506377661667,0.033757966890415,0.600750593146475,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Cuneatibacter"
"Desulfovibrio_desulfuricans",0.0491420731956564,0.00641097432947218,0.0234542361428128,0,0,0,0,0.713565624454534,0.898055882059232,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio"
"Desulfovibrio_fairfieldensis",0,0,0,0,0,0,0,0.511757904968536,0.783291375552983,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio"
"Dialister_invisus",0,0.0149471333117467,0.175304427795023,0.0653964345702111,0,0,0,0.339400765343243,0.690000859087193,"Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Dialister"
"Dielma_fastidiosa",0,0,0,0,0,0,0,0.138674216514599,0.623849173981767,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Dielma"
"Diplocloster_agilis",0.00728703917216163,0.0060745765045463,0,0,0,0,0,0.343492106840291,0.690000859087193,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Diplocloster"
"Dorea_formicigenerans",0,0.0501438776807968,0.0379327149855072,0.008062345495105,0.0573012228639294,0.0527673143963431,0.118878220694885,0.204191732372468,0.63570185279367,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Dorea"
"Dorea_longicatena",0,0.0882325704160234,0,0,0.090064390823256,0.0870045891557422,0.0498540765456405,0.845609125490593,0.955976535343492,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Dorea"
"Dorea_phocaeensis",0,0,0,0,0,0,0,0.662515091947247,0.873180768802188,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Dorea"
"Dorea_sp_AF36_15AT",0,0.0152649356928844,0,0.0141884998788818,0.0219645246642608,0.0147267177858831,0.576095979832936,0.539835685428892,0.796900297537888,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Dorea"
"Dysosmobacter_sp_Marseille_Q4140",0.0624200099844826,0,0,0,0,0,0,0.411645553098114,0.727400925838693,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Dysosmobacter"
"Dysosmobacter_welbionis",0.0178978826458986,0.046844489589723,0.0969049176383736,0,0.0114177669300988,0.00844584762250059,0.434081083843841,0.697511104999923,0.885418191476196,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Dysosmobacter"
"Eggerthella_lenta",0.0697372118472858,0.0421052093780033,0.0387382421039453,0,0.0154090703022223,0.0254811170072669,-0.724911058351775,0.0843540664216558,0.600750593146475,"Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Eggerthella"
"Eisenbergiella_massiliensis",0,0,0.013798992700018,0.00638753152416377,0,0,0,0.0720509619181759,0.600750593146475,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Eisenbergiella"
"Eisenbergiella_tayi",0.0152419811701836,0.00971097473617434,0.0550159461370235,0.00719728418351139,0,0.0035986420917557,-7.50270729523105,0.591274441679096,0.835157424817716,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Eisenbergiella"
"Emergencia_timonensis",0,0,0,0.0205197255272641,0,0,0,0.376854642651081,0.707725101386856,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales_Family_XIII_Incertae_Sedis","Emergencia"
"Enorma_massiliensis",0,0,0,0,0,0,0,0.234511796169097,0.643077390399694,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Enorma"
"Enterocloster_aldenensis",0,0,0.0070427870787089,0,0,0,0,0.104277646670571,0.611945762102077,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Enterocloster"
"Enterocloster_asparagiformis",0.0111492219685852,0,0,0,0,0,0,0.404223159875202,0.725861603997764,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Enterocloster"
"Enterocloster_bolteae",0,0,0.0239292630284613,0.00664835736470414,0,0.00332417868235207,-7.38890925647766,0.0389408028796243,0.600750593146475,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Enterocloster"
"Enterocloster_citroniae",0,0,0.00523452640620912,0,0,0,0,0.332067056960861,0.690000859087193,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Enterocloster"
"Enterocloster_clostridioformis",0,0,0,0,0,0,0,0.00995526334769295,0.600750593146475,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Enterocloster"
"Enterocloster_hominis",0,0.0258659943569065,0.0496288522268686,0.032896662909255,0.0197581077742053,0.0123016469211578,0.68271139674227,0.278304213174066,0.662866583893095,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Enterocloster"
